time,setpoint,response,pwm,,Parameters
863603340,100.00,99.95,0.05,,Labtype,Position
863628200,100.00,99.95,0.05,,Feedforward,
863642172,100.00,99.95,0.05,,OL Voltage,
863664720,100.00,99.95,0.05,,Setpoint,100
863682552,100.00,99.95,0.05,,Saturation,"-12,12"
863705792,100.00,99.95,0.05,,PID Sample Time,2
863720800,100.00,99.95,0.05,,P,1
863747804,100.00,99.95,0.05,,I,0
863762120,100.00,99.95,0.05,,D,0
863787236,100.00,99.95,0.05,,Controller State,1
863802584,100.00,99.95,0.05,,,0
863824960,100.00,99.95,0.05,,,
863840728,100.00,99.95,0.05,,,
863867732,100.00,99.95,0.05,,,
863882988,100.00,99.95,0.05,,,
863905364,100.00,99.95,0.05,,,
863920020,100.00,99.95,0.05,,,
863943256,100.00,99.95,0.05,,,
863957404,100.00,99.95,0.05,,,
863980640,100.00,99.95,0.05,,,
863995644,100.00,99.95,0.05,,,
864021624,100.00,99.95,0.05,,,
864037388,100.00,99.95,0.05,,,
864059168,100.00,99.95,0.05,,,
864072540,100.00,99.95,0.05,,,
864091492,100.00,99.95,0.05,,,
864105976,100.00,99.95,0.05,,,
864128180,100.00,99.95,0.05,,,
864143180,100.00,99.95,0.05,,,
864167356,100.00,99.95,0.05,,,
864185956,100.00,99.95,0.05,,,
864206704,100.00,99.95,0.05,,,
864220676,100.00,99.95,0.05,,,
864245884,100.00,99.95,0.05,,,
864260620,100.00,99.95,0.05,,,
864288140,100.00,99.95,0.05,,,
864302624,100.00,99.95,0.05,,,
864329288,100.00,99.95,0.05,,,
864346512,100.00,99.95,0.05,,,
864369748,100.00,99.95,0.05,,,
864384064,100.00,99.95,0.05,,,
864410032,100.00,99.95,0.05,,,
864422888,100.00,99.95,0.05,,,
864447828,100.00,99.95,0.05,,,
864463008,100.00,99.95,0.05,,,
864486068,100.00,99.95,0.05,,,
864521652,100.00,99.95,0.05,,,
864562972,100.00,99.95,0.05,,,
864583376,100.00,99.95,0.05,,,
864617928,100.00,99.95,0.05,,,
864636872,100.00,99.95,0.05,,,
864664568,100.00,99.95,0.05,,,
864679916,100.00,99.95,0.05,,,
864702120,100.00,99.95,0.05,,,
864718928,100.00,99.95,0.05,,,
864742756,100.00,99.95,0.05,,,
864753816,100.00,99.95,0.05,,,
864774980,100.00,99.95,0.05,,,
864786640,100.00,99.95,0.05,,,
864810904,100.00,99.95,0.05,,,
864827708,100.00,99.95,0.05,,,
864852572,100.00,99.95,0.05,,,
864867576,100.00,99.95,0.05,,,
864889088,100.00,99.95,0.05,,,
864902116,100.00,99.95,0.05,,,
864922176,100.00,99.95,0.05,,,
864936148,100.00,99.95,0.05,,,
864958524,100.00,99.95,0.05,,,
864971384,100.00,99.95,0.05,,,
864991444,100.00,99.95,0.05,,,
865002756,100.00,99.95,0.05,,,
865030872,100.00,99.95,0.05,,,
865047848,100.00,99.95,0.05,,,
865070048,100.00,99.95,0.05,,,
865085824,100.00,99.95,0.05,,,
865108196,100.00,99.95,0.05,,,
865122512,100.00,99.95,0.05,,,
865144800,100.00,99.95,0.05,,,
865160148,100.00,99.95,0.05,,,
865185528,100.00,99.95,0.05,,,
865200192,100.00,99.95,0.05,,,
865220416,100.00,99.95,0.05,,,
865254024,100.00,99.95,0.05,,,
865297500,100.00,99.95,0.05,,,
865318072,100.00,99.95,0.05,,,
865350132,100.00,99.95,0.05,,,
865366588,100.00,99.95,0.05,,,
865393592,100.00,99.95,0.05,,,
865410304,100.00,99.95,0.05,,,
865432424,100.00,99.95,0.05,,,
865449228,100.00,99.95,0.05,,,
865471680,100.00,99.95,0.05,,,
865485568,100.00,99.95,0.05,,,
865506736,100.00,99.95,0.05,,,
865518660,100.00,99.95,0.05,,,
865540344,100.00,99.95,0.05,,,
865555172,100.00,99.95,0.05,,,
865577716,100.00,99.95,0.05,,,
865591860,100.00,99.95,0.05,,,
865618524,100.00,99.95,0.05,,,
865634636,100.00,99.95,0.05,,,
865658044,100.00,99.95,0.05,,,
865672776,100.00,99.95,0.05,,,
865694212,100.00,99.95,0.05,,,
865708356,100.00,99.95,0.05,,,
865731764,100.00,99.95,0.05,,,
865747532,100.00,99.95,0.05,,,
865769212,100.00,99.95,0.05,,,
865783356,100.00,99.95,0.05,,,
865810788,100.00,99.95,0.05,,,
865829044,100.00,99.95,0.05,,,
865858712,100.00,99.95,0.05,,,
865877312,100.00,99.95,0.05,,,
865900372,100.00,99.95,0.05,,,
865916832,100.00,99.95,0.05,,,
865941176,100.00,99.95,0.05,,,
865957292,100.00,99.95,0.05,,,
865983012,100.00,99.95,0.05,,,
865998192,100.00,99.95,0.05,,,
866030516,100.00,99.95,0.05,,,
866048012,100.00,99.95,0.05,,,
866072872,100.00,99.95,0.05,,,
866087528,100.00,99.95,0.05,,,
866113080,100.00,99.95,0.05,,,
866130740,100.00,99.95,0.05,,,
866154744,100.00,99.95,0.05,,,
866169060,100.00,99.95,0.05,,,
866194092,100.00,99.95,0.05,,,
866227184,100.00,99.95,0.05,,,
866270564,100.00,99.95,0.05,,,
866292172,100.00,99.95,0.05,,,
866327236,100.00,99.95,0.05,,,
866344728,100.00,99.95,0.05,,,
866373364,100.00,99.95,0.05,,,
866390760,100.00,99.95,0.05,,,
866415796,100.00,99.95,0.05,,,
866430456,100.00,99.95,0.05,,,
866451720,100.00,99.95,0.05,,,
866467828,100.00,99.95,0.05,,,
866490896,100.00,99.95,0.05,,,
866505208,100.00,99.95,0.05,,,
866530240,100.00,99.95,0.05,,,
866545244,100.00,99.95,0.05,,,
866572252,100.00,99.95,0.05,,,
866585452,100.00,99.95,0.05,,,
866609212,100.00,99.95,0.05,,,
866645728,100.00,99.95,0.05,,,
866689716,100.00,99.95,0.05,,,
866711916,100.00,99.95,0.05,,,
866742868,100.00,99.95,0.05,,,
866762504,100.00,99.95,0.05,,,
866790028,100.00,99.95,0.05,,,
866807348,100.00,99.95,0.05,,,
866831524,100.00,99.95,0.05,,,
866846948,100.00,99.95,0.05,,,
866871044,100.00,99.95,0.05,,,
866883384,100.00,99.95,0.05,,,
866906528,100.00,99.95,0.05,,,
866922564,100.00,99.95,0.05,,,
866945968,100.00,99.95,0.05,,,
866981720,100.00,99.95,0.05,,,
867025708,100.00,99.95,0.05,,,
867047572,100.00,99.95,0.05,,,
867077828,100.00,99.95,0.05,,,
867097888,100.00,99.95,0.05,,,
867125492,100.00,99.95,0.05,,,
867142812,100.00,99.95,0.05,,,
867165700,100.00,99.95,0.05,,,
867177872,100.00,99.95,0.05,,,
867198444,100.00,99.95,0.05,,,
867211132,100.00,99.95,0.05,,,
867237452,100.00,99.95,0.05,,,
867253908,100.00,99.95,0.05,,,
867277320,100.00,99.95,0.05,,,
867294888,100.00,99.95,0.05,,,
867321380,100.00,99.95,0.05,,,
867336804,100.00,99.95,0.05,,,
867360724,100.00,99.95,0.05,,,
867376840,100.00,99.95,0.05,,,
867402564,100.00,99.95,0.05,,,
867415596,100.00,99.95,0.05,,,
867440628,100.00,99.95,0.05,,,
867458128,100.00,99.95,0.05,,,
867481528,100.00,99.95,0.05,,,
867499028,100.00,99.95,0.05,,,
867523200,100.00,99.95,0.05,,,
867541460,100.00,99.95,0.05,,,
867562896,100.00,99.95,0.05,,,
867578244,100.00,99.95,0.05,,,
867605596,100.00,99.95,0.05,,,
867627280,100.00,99.95,0.05,,,
867654112,100.00,99.95,0.05,,,
867672376,100.00,99.95,0.05,,,
867694152,100.00,99.95,0.05,,,
867710784,100.00,99.95,0.05,,,
867736164,100.00,99.95,0.05,,,
867751684,100.00,99.95,0.05,,,
867775860,100.00,99.95,0.05,,,
867794636,100.00,99.95,0.05,,,
867820532,100.00,99.95,0.05,,,
867837508,100.00,99.95,0.05,,,
867863312,100.00,99.95,0.05,,,
867877112,100.00,99.95,0.05,,,
867899660,100.00,99.95,0.05,,,
867914660,100.00,99.95,0.05,,,
867939008,100.00,99.95,0.05,,,
867956672,100.00,99.95,0.05,,,
867984024,100.00,99.95,0.05,,,
868003660,100.00,99.95,0.05,,,
868024232,100.00,99.95,0.05,,,
868051244,100.00,99.95,0.05,,,
868079708,100.00,99.95,0.05,,,
868096412,100.00,99.95,0.05,,,
868120932,100.00,99.95,0.05,,,
868137732,100.00,99.95,0.05,,,
868160800,100.00,99.95,0.05,,,
868176224,100.00,99.95,0.05,,,
868206828,100.00,99.95,0.05,,,
868227748,100.00,99.95,0.05,,,
868250292,100.00,99.95,0.05,,,
868267100,100.00,99.95,0.05,,,
868289648,100.00,99.95,0.05,,,
868331912,100.00,99.95,0.05,,,
868376412,100.00,99.95,0.05,,,
868398956,100.00,99.95,0.05,,,
868427764,100.00,99.95,0.05,,,
868445680,100.00,99.95,0.05,,,
868473032,100.00,99.95,0.05,,,
868489140,100.00,99.95,0.05,,,
868510576,100.00,99.95,0.05,,,
868527032,100.00,99.95,0.05,,,
868551380,100.00,99.95,0.05,,,
868563896,100.00,99.95,0.05,,,
868592952,100.00,99.95,0.05,,,
868607440,100.00,99.95,0.05,,,
868630500,100.00,99.95,0.05,,,
868644992,100.00,99.95,0.05,,,
868664704,100.00,99.95,0.05,,,
868677388,100.00,99.95,0.05,,,
868698388,100.00,99.95,0.05,,,
868711072,100.00,99.95,0.05,,,
868736528,100.00,99.95,0.05,,,
868752396,100.00,99.95,0.05,,,
868776736,100.00,99.95,0.05,,,
868792340,100.00,99.95,0.05,,,
868817372,100.00,99.95,0.05,,,
868838884,100.00,99.95,0.05,,,
868869148,100.00,99.95,0.05,,,
868884148,100.00,99.95,0.05,,,
868908836,100.00,99.95,0.05,,,
868924952,100.00,99.95,0.05,,,
868950752,100.00,99.95,0.05,,,
868966448,100.00,99.95,0.05,,,
868989676,100.00,99.95,0.05,,,
869007076,100.00,99.95,0.05,,,
869031596,100.00,99.95,0.05,,,
869046772,100.00,99.95,0.05,,,
869070352,100.00,99.95,0.05,,,
869085180,100.00,99.95,0.05,,,
869107736,100.00,99.95,0.05,,,
869123160,100.00,99.95,0.05,,,
869147332,100.00,99.95,0.05,,,
869165760,100.00,99.95,0.05,,,
869192424,100.00,99.95,0.05,,,
869206396,100.00,99.95,0.05,,,
869233228,100.00,99.95,0.05,,,
869248824,100.00,99.95,0.05,,,
869275836,100.00,99.95,0.05,,,
869291432,100.00,99.95,0.05,,,
869319896,100.00,99.95,0.05,,,
869340640,100.00,99.95,0.05,,,
869367476,100.00,99.95,0.05,,,
869384700,100.00,99.95,0.05,,,
869406480,100.00,99.95,0.05,,,
869422768,100.00,99.95,0.05,,,
869445832,100.00,99.95,0.05,,,
869459284,100.00,99.95,0.05,,,
869483976,100.00,99.95,0.05,,,
869502920,100.00,99.95,0.05,,,
869567912,100.00,99.95,0.05,,,
869598272,100.00,99.95,0.05,,,
869633852,100.00,99.95,0.05,,,
869651344,100.00,99.95,0.05,,,
869681436,100.00,99.95,0.05,,,
869698928,100.00,99.95,0.05,,,
869722584,100.00,99.95,0.05,,,
869737932,100.00,99.95,0.05,,,
869762968,100.00,99.95,0.05,,,
869777800,100.00,99.95,0.05,,,
869805232,100.00,99.95,0.05,,,
869822896,100.00,99.95,0.05,,,
869846724,100.00,99.95,0.05,,,
869860448,100.00,99.95,0.05,,,
869885312,100.00,99.95,0.05,,,
869901772,100.00,99.95,0.05,,,
869928432,100.00,99.95,0.05,,,
869942060,100.00,99.95,0.05,,,
869967784,100.00,99.95,0.05,,,
870011164,100.00,99.95,0.05,,,
870052144,100.00,99.95,0.05,,,
870074172,100.00,99.95,0.05,,,
870104780,100.00,99.95,0.05,,,
870123904,100.00,99.95,0.05,,,
870146792,100.00,99.95,0.05,,,
870163600,100.00,99.95,0.05,,,
870186492,100.00,99.95,0.05,,,
870202780,100.00,99.95,0.05,,,
870229612,100.00,99.95,0.05,,,
870247280,100.00,99.95,0.05,,,
870269824,100.00,99.95,0.05,,,
870286884,100.00,99.95,0.05,,,
870313376,100.00,99.95,0.05,,,
870330176,100.00,99.95,0.05,,,
870355900,100.00,99.95,0.05,,,
870369704,100.00,99.95,0.05,,,
870394052,100.00,99.95,0.05,,,
870406148,100.00,99.95,0.05,,,
870429976,100.00,99.95,0.05,,,
870445568,100.00,99.95,0.05,,,
870470776,100.00,99.95,0.05,,,
870487064,100.00,99.95,0.05,,,
870511748,100.00,99.95,0.05,,,
870528968,100.00,99.95,0.05,,,
870550232,100.00,99.95,0.05,,,
870567892,100.00,99.95,0.05,,,
870596528,100.00,99.95,0.05,,,
870614612,100.00,99.95,0.05,,,
870668112,100.00,99.95,0.05,,,
870697092,100.00,99.95,0.05,,,
870733268,100.00,99.95,0.05,,,
870753668,100.00,99.95,0.05,,,
870780328,100.00,99.95,0.05,,,
870800308,100.00,99.95,0.05,,,
870827224,100.00,99.95,0.05,,,
870840940,100.00,99.95,0.05,,,
870865628,100.00,99.95,0.05,,,
870883024,100.00,99.95,0.05,,,
870905572,100.00,99.95,0.05,,,
870924172,100.00,99.95,0.05,,,
870946896,100.00,99.95,0.05,,,
870964636,100.00,99.95,0.05,,,
870988384,100.00,99.95,0.05,,,
871004672,100.00,99.95,0.05,,,
871028424,100.00,99.95,0.05,,,
871047024,100.00,99.95,0.05,,,
871071028,100.00,99.95,0.05,,,
871086376,100.00,99.95,0.05,,,
871111064,100.00,99.95,0.05,,,
871128636,100.00,99.95,0.05,,,
871153324,100.00,99.95,0.05,,,
871167048,100.00,99.95,0.05,,,
871191740,100.00,99.95,0.05,,,
871208368,100.00,99.95,0.05,,,
871234688,100.00,99.95,0.05,,,
871252256,100.00,99.95,0.05,,,
871276176,100.00,99.95,0.05,,,
871294608,100.00,99.95,0.05,,,
871320336,100.00,99.95,0.05,,,
871335684,100.00,99.95,0.05,,,
871365180,100.00,99.95,0.05,,,
871383440,100.00,99.95,0.05,,,
871408648,100.00,99.95,0.05,,,
871427420,100.00,99.95,0.05,,,
871452108,100.00,99.95,0.05,,,
871465656,100.00,99.95,0.05,,,
871492488,100.00,99.95,0.05,,,
871511096,100.00,99.95,0.05,,,
871536468,100.00,99.95,0.05,,,
871550784,100.00,99.95,0.05,,,
871573160,100.00,99.95,0.05,,,
871591000,100.00,99.95,0.05,,,
871611996,100.00,99.95,0.05,,,
871628116,100.00,99.95,0.05,,,
871685904,100.00,99.95,0.05,,,
871711112,100.00,99.95,0.05,,,
871746176,100.00,99.95,0.05,,,
871764776,100.00,99.95,0.05,,,
871795900,100.00,99.95,0.05,,,
871810808,100.00,99.95,0.05,,,
871833872,100.00,99.95,0.05,,,
871849808,100.00,99.95,0.05,,,
871875956,100.00,99.95,0.05,,,
871893104,100.00,99.95,0.05,,,
871918136,100.00,99.95,0.05,,,
871931000,100.00,99.95,0.05,,,
871959808,100.00,99.95,0.05,,,
871979100,100.00,99.95,0.05,,,
872005412,100.00,99.95,0.05,,,
872024440,100.00,99.95,0.05,,,
872045184,100.00,99.95,0.05,,,
872061640,100.00,99.95,0.05,,,
872083672,100.00,99.95,0.05,,,
872098848,100.00,99.95,0.05,,,
872125928,100.00,99.95,0.05,,,
872142728,100.00,99.95,0.05,,,
872165452,100.00,99.95,0.05,,,
872181908,100.00,99.95,0.05,,,
872204108,100.00,99.95,0.05,,,
872218248,100.00,99.95,0.05,,,
872243112,100.00,99.95,0.05,,,
872261028,100.00,99.95,0.05,,,
872286240,100.00,99.95,0.05,,,
872298580,100.00,99.95,0.05,,,
872324896,100.00,99.95,0.05,,,
872343496,100.00,99.95,0.05,,,
872364420,100.00,99.95,0.05,,,
872380704,100.00,99.95,0.05,,,
872405568,100.00,99.95,0.05,,,
872422716,100.00,99.95,0.05,,,
872446988,100.00,99.95,0.05,,,
872463100,100.00,99.95,0.05,,,
872488820,100.00,99.95,0.05,,,
872505532,100.00,99.95,0.05,,,
872531940,100.00,99.95,0.05,,,
872548228,100.00,99.95,0.05,,,
872571804,100.00,99.95,0.05,,,
872588516,100.00,99.95,0.05,,,
872626760,100.00,99.95,0.05,,,
872645360,100.00,99.95,0.05,,,
872688316,100.00,99.95,0.05,,,
872708716,100.00,99.95,0.05,,,
872733064,100.00,99.95,0.05,,,
872748756,100.00,99.95,0.05,,,
872781164,100.00,99.95,0.05,,,
872801736,100.00,99.95,0.05,,,
872831916,100.00,99.95,0.05,,,
872850352,100.00,99.95,0.05,,,
872880788,100.00,99.95,0.05,,,
872898452,100.00,99.95,0.05,,,
872925632,100.00,99.95,0.05,,,
872944924,100.00,99.95,0.05,,,
872989160,100.00,99.95,0.05,,,
873007588,100.00,99.95,0.05,,,
873034080,100.00,99.95,0.05,,,
873048564,100.00,99.95,0.05,,,
873074884,100.00,99.95,0.05,,,
873089884,100.00,99.95,0.05,,,
873115604,100.00,99.95,0.05,,,
873128296,100.00,99.95,0.05,,,
873154436,100.00,99.95,0.05,,,
873191824,100.00,99.95,0.05,,,
873235292,100.00,99.95,0.05,,,
873257836,100.00,99.95,0.05,,,
873292388,100.00,99.95,0.05,,,
873313132,100.00,99.95,0.05,,,
873339624,100.00,99.95,0.05,,,
873357192,100.00,99.95,0.05,,,
873387456,100.00,99.95,0.05,,,
873404776,100.00,99.95,0.05,,,
873427152,100.00,99.95,0.05,,,
873444128,100.00,99.95,0.05,,,
873469164,100.00,99.95,0.05,,,
873486564,100.00,99.95,0.05,,,
873511004,100.00,99.95,0.05,,,
873526252,100.00,99.95,0.05,,,
873550948,100.00,99.95,0.05,,,
873569032,100.00,99.95,0.05,,,
873594756,100.00,99.95,0.05,,,
873641484,100.00,99.95,0.05,,,
873681528,100.00,99.95,0.05,,,
873703556,100.00,99.95,0.05,,,
873734928,100.00,99.95,0.05,,,
873753184,100.00,99.95,0.05,,,
873778736,100.00,99.95,0.05,,,
873794084,100.00,99.95,0.05,,,
873817152,100.00,99.95,0.05,,,
873831636,100.00,99.95,0.05,,,
873855980,100.00,99.95,0.05,,,
873874932,100.00,99.95,0.05,,,
873899964,100.00,99.95,0.05,,,
873918572,100.00,99.95,0.05,,,
873947552,100.00,99.95,0.05,,,
873962560,100.00,99.95,0.05,,,
873987420,100.00,99.95,0.05,,,
874007056,100.00,99.95,0.05,,,
874037660,100.00,99.95,0.05,,,
874056604,100.00,99.95,0.05,,,
874089704,100.00,99.95,0.05,,,
874111560,100.00,99.95,0.05,,,
874144828,100.00,99.95,0.05,,,
874161880,100.00,99.95,0.05,,,
874195148,100.00,99.95,0.05,,,
874217176,100.00,99.95,0.05,,,
874247092,100.00,99.95,0.05,,,
874262620,100.00,99.95,0.05,,,
874311140,100.00,99.95,0.05,,,
874327256,100.00,99.95,0.05,,,
874357004,100.00,99.95,0.05,,,
